аббревиатура абревиатура
абонент абанент
агрессивный агресивный
агресси€ агреси€
агрессор агресор
аккумул€тор акамул€тор
аккумул€тор акумул€тор
аккуратно акуратно
аккуратный акуратный
апелл€ци€ апел€ци€
аппарат апарат
аппаратура апаратура
ассистент асистент
баррикада барикада
больше больеш
брэнд бренд
будущее будующее
будущем будующеем
будущем будующем
будущий будующий
видеть видить
всегда всигда
всегда свегда
вс€кий св€кий
гауптвахта гаупвахта
грамотный граммотный
гуманизм гумманизм
делать деалть
дилер диллер
жизнь жизьнь
жизнь жызнь
зачет зачот
идти итти
именно миенно
инженер инжинер
интерес антирес
интерес интирес
инцидент инцедент
инцидент инциндент
легко лекго
легко лехко
машина машына
машина мошина
мощность мощьность
наконец наканец
например напирмер
ничего ничево
ничто ништо
новый нвоый
опечатка очеп€тка
офис оффис
перспектива переспектива
последний полседний
потом патом
потом поотм
программа софтинка
программист програмист
программу софтинку
просто рпосто
против проитв
раса расса
реклама рекламма
рекламу рекламму
свои сови
сказать сакзать
сколько сколко
случай случ€й
смотреть смортеть
твой товй
теперь теепрь
функцы€ функцы€
хороший хароший
черный чорный
черным чорным
эффект эфект
